"Country,Code,Continent,Religion,Status,Population,Labor_Force,GDP,Urbanization,Literacy,Population_Growth_Rate,Below_Poverty_Line,Median_Age,Life_Expectancy,Age"
"Afghanistan,AFG,Asia,Islam,Poor,29835392,15000000,900,0.23,0.28,0.02,0.36,18,45,<65"
"Angola,AGO,Africa,Others,Developing,13338541,8014000,8200,0.59,0.67,0.02,0.41,18,39,<65"
"Albania,ALB,Europe,Islam,Developing,2994667,1053000,8000,0.52,0.99,0,0.13,30,77,>=65"
"United Arab Emirates,ARE,Asia,Islam,Developed,5148664,3705000,49600,0.84,0.78,0.03,0.2,30,77,>=65"
"Argentina,ARG,South America,Christianity,Developing,41769726,16540000,14700,0.92,0.97,0.01,0.3,31,77,>=65"
"Armenia,ARM,Asia,Christianity,Developing,2967975,1481000,5700,0.64,0.99,0,0.27,32,73,>=65"
"Australia,AUS,Australia,Christianity,Developed,21766711,11870000,41000,0.89,0.99,0.01,0,38,82,>=65"
"Austria,AUT,Europe,Christianity,Developed,8217280,3611000,40400,0.68,0.98,0,0.06,43,80,>=65"
"Azerbaijan,AZE,Asia,Islam,Developing,8372373,5933000,10900,0.52,0.99,0.01,0.11,29,67,>=65"
"Burundi,BDI,Africa,Christianity,Poor,10216190,4245000,300,0.11,0.59,0.03,0.68,17,59,<65"
"Belgium,BEL,Europe,Christianity,Developed,10431477,5114000,37800,0.97,0.99,0,0.15,42,80,>=65"
"Benin,BEN,Africa,Christianity,Poor,9325032,3662000,1500,0.42,0.35,0.03,0.37,17,60,<65"
"Burkina Faso,BFA,Africa,Islam,Poor,16751455,6668000,1200,0.26,0.22,0.03,0.46,17,54,<65"
"Bangladesh,BGD,Asia,Islam,Poor,158570535,73860000,1700,0.28,0.48,0.02,0.4,23,70,>=65"
"Bulgaria,BGR,Europe,Christianity,Developing,7093635,2499000,13500,0.71,0.98,-0.01,0.22,42,74,>=65"
"Bahrain,BHR,Asia,Islam,Developed,1214705,654900,40300,0.89,0.87,0.03,0,31,78,>=65"
"Bosnia and Herzegovina,BIH,Europe,Islam,Developing,4622163,2600000,6600,0.49,0.97,0,0.19,41,79,>=65"
"Belarus,BLR,Europe,Christianity,Developing,9577552,5000000,13600,0.75,1,0,0.27,39,71,>=65"
"Bolivia,BOL,South America,Christianity,Developing,10118683,4614000,4800,0.67,0.87,0.02,0.3,23,68,>=65"
"Bhutan,BTN,Asia,Others,Developing,708427,299900,5500,0.35,0.47,0.01,0.23,25,67,>=65"
"Botswana,BWA,Africa,Christianity,Developing,2065398,1225000,14000,0.61,0.81,0.02,0.3,22,58,<65"
"Central African Republic,CAF,Africa,Others,Poor,4950027,1926000,700,0.39,0.49,0.02,0.64,19,50,<65"
"Canada,CAN,North America,Christianity,Developed,34030589,18530000,39400,0.81,0.99,0.01,0.09,41,81,>=65"
"Switzerland,CHE,Europe,Christianity,Developed,7639961,4218000,42600,0.74,0.99,0,0.07,42,81,>=65"
"Chile,CHL,South America,Christianity,Developing,16888760,7918000,15400,0.89,0.96,0.01,0.12,32,78,>=65"
"China,CHN,Asia,Others,Developing,1336718015,815300000,7600,0.47,0.92,0,0.03,36,75,>=65"
"Cameroon,CMR,Africa,Others,Poor,19711291,7836000,2300,0.58,0.68,0.02,0.48,19,54,<65"
"Colombia,COL,South America,Christianity,Developing,44725543,21780000,9800,0.75,0.9,0.01,0.46,28,75,>=65"
"Comoros,COM,Africa,Islam,Poor,794683,268500,1000,0.28,0.57,0.03,0.6,19,64,<65"
"Cape Verde,CPV,Africa,Christianity,Poor,516100,196100,3800,0.61,0.77,0.01,0.3,23,71,>=65"
"Germany,DEU,Europe,Christianity,Developed,81471834,43490000,35700,0.74,0.99,0,0.16,45,80,>=65"
"Djibouti,DJI,Africa,Islam,Poor,757074,351700,2800,0.76,0.68,0.02,0.42,22,61,<65"
"Denmark,DNK,Europe,Christianity,Developed,5529888,2852000,36600,0.87,0.99,0,0.12,41,79,>=65"
"Algeria,DZA,Africa,Islam,Developing,34994937,10810000,7300,0.66,0.7,0.01,0.23,28,75,>=65"
"Ecuador,ECU,South America,Christianity,Developing,15007343,4645000,7800,0.67,0.91,0.01,0.33,26,76,>=65"
"Egypt,EGY,Africa,Islam,Developing,82079636,26200000,6200,0.43,0.71,0.02,0.2,24,73,>=65"
"Eritrea,ERI,Africa,Islam,Poor,5939484,1935000,600,0.22,0.59,0.02,0.5,19,63,<65"
"Spain,ESP,Europe,Christianity,Developed,46754784,23090000,29400,0.77,0.98,0.01,0.2,41,81,>=65"
